date,Total,DeepSeek,OpenAI,Anthropic,Google,Zhipu,Qwen,Minimax,Moonshot,Mistral,xAI,Tencent,Xiaomi,Meta,Nvidia,Other,Stepfun,OpenRouter,Poolside,Stealth,Inclusionai,Arcee,Cohere,Nex-agi,Tngtech,Upstage,Kwaipilot,Perplexity,Baai,Microsoft,Bytedance-seed,Sentence-transformers
2026-01-08,969.0155,79.6566,90.4981,174.4450,234.0169,26.1813,9.9207,32.4896,7.5775,26.6100,103.8978,0.0000,57.6234,5.8949,0.0000,87.5249,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.0610,14.0930,0.0000,8.5248,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-09,957.0892,79.6933,83.2580,167.3614,225.0118,36.6885,14.7844,26.8325,7.6392,29.5393,105.2499,0.0000,55.7431,10.1520,0.0000,85.0735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,7.7319,14.4342,0.0000,7.8960,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-10,802.8703,79.4505,62.0555,115.4653,200.3351,24.6255,8.4602,12.2501,6.1599,30.4044,97.8454,0.0000,67.0349,8.6662,0.0000,68.2790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.7245,0.0000,5.1137,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-11,789.6935,86.3306,73.1704,103.3642,179.4756,28.6593,15.4838,8.1589,3.6630,32.1867,98.8883,0.0000,57.9017,8.4258,0.0000,70.9799,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.6681,0.0000,5.3372,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-12,1014.3136,82.6392,102.9183,197.0395,233.6258,28.5483,14.5744,12.6037,10.4451,37.1077,116.3624,0.0000,74.7147,9.5340,0.0000,77.4555,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.7450,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-13,1098.3506,79.9146,126.7149,225.4301,255.1143,23.6303,12.3113,19.4593,4.0108,34.0968,129.3037,0.0000,78.9895,5.6975,0.0000,84.8781,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.8321,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.9673
2026-01-14,1168.7537,80.9046,154.8815,304.0673,239.8701,22.7799,13.5620,17.7579,7.4109,29.0892,118.0139,0.0000,74.9703,8.4418,0.0000,81.7030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.3015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-15,1227.0409,82.7907,133.1779,297.2590,299.3148,22.4624,18.3901,24.4548,4.5055,31.3863,125.7537,0.0000,82.7611,9.9804,0.0000,79.3197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.4847,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-16,1111.7760,89.2299,131.3678,175.7198,295.2748,23.5424,20.1867,14.7408,4.8423,28.0427,142.1130,0.0000,81.6279,10.3989,0.0000,79.2715,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.4173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-17,965.4163,82.6839,99.7033,115.8319,284.5527,19.7000,23.7745,11.7125,3.6797,29.5511,129.0790,0.0000,73.1529,9.7914,0.0000,65.4327,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.7709,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-18,1057.6215,79.9439,101.2875,125.9756,361.2034,19.9587,28.5410,13.0248,3.4063,28.1677,122.3372,0.0000,79.8334,9.7681,0.0000,66.4465,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.7274,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-19,1118.4707,81.0855,138.4607,199.3198,261.1856,18.3727,35.7918,14.4734,6.1747,29.0967,137.6552,0.0000,83.9626,10.0576,0.0000,85.5565,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.2777,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-20,1167.3699,81.2002,143.2746,213.3106,276.4757,26.7119,27.4211,17.8770,10.1106,28.9476,143.4002,0.0000,83.7502,9.9201,0.0000,88.2989,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.6711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-21,1109.7513,78.5858,132.3000,193.0587,261.0229,18.3219,28.9256,17.4810,4.8825,29.8445,140.5460,0.0000,86.4714,10.6008,0.0000,92.0995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.6109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-22,1165.6447,90.3476,153.5864,192.4422,272.6710,24.1030,22.8024,14.5067,3.8816,31.2902,154.2426,0.0000,95.2953,7.3863,0.0000,86.9283,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.1610,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-23,1098.2278,88.3162,118.4708,199.4474,247.4932,25.1235,40.8238,14.4652,3.8665,32.0305,140.8619,0.0000,76.3322,6.7372,0.0000,89.2250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.0343,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-24,921.7792,90.7580,94.7375,120.1120,197.5500,21.2969,23.9684,12.9148,3.4820,39.2765,140.5929,0.0000,73.7129,9.0750,0.0000,78.4973,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.8051,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-25,912.4361,90.5150,94.0078,121.2114,206.7875,22.5677,22.5588,13.6097,6.7299,34.6370,119.2676,0.0000,78.3237,9.0063,0.0000,75.7829,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,17.4307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-26,1123.0374,97.5774,125.1318,203.6977,265.7076,26.8922,28.2713,21.1314,6.9176,30.4671,140.5854,0.0000,55.1178,10.6447,0.0000,92.2080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,18.6873,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-27,1171.0920,107.1551,146.2225,201.0971,287.0884,29.2146,27.0578,30.3715,25.0897,22.7989,153.0961,0.0000,9.2988,8.8036,0.0000,104.7442,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.0536,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-01-28,1262.2447,99.6414,183.6119,212.9056,296.1716,34.8381,22.8559,32.7427,68.2928,11.3971,141.1342,0.0000,9.1429,12.0671,0.0000,106.7919,0.0000,0.0000,0.0000,0.0000,0.0000,11.5764,0.0000,0.0000,19.0752,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
